,ID,continent
0,YYZ,1
1,ALG,5
2,LOS,5
3,TUN,5
4,FRA,5
5,LGW,5
6,LHR,5
7,AMS,5
8,CPT,2
9,JNB,2
10,CMN,5
11,ADD,2
12,CAI,2
13,HRG,2
14,BCN,5
15,MAD,5
16,CDG,5
17,MEX,6
18,AKL,0
19,JED,2
20,DXB,2
21,TPE,4
22,HND,4
23,MNL,4
24,BSB,3
25,GRU,3
26,SDU,3
27,SCL,3
28,BOG,3
29,CLO,3
30,LIM,3
31,SVO,5
32,BOM,2
33,HKG,4
34,DEL,4
35,DMK,4
36,SGN,4
37,CGK,4
38,KUL,4
39,SIN,4
40,MEL,0
41,ADL,0
42,CBR,0
43,SYD,0
44,PEK,4
45,CAN,4
46,SZX,4
47,XIY,4
48,KMG,4
49,HGH,4
50,SHA,4
51,CKG,4
52,PVG,4
53,BOS,1
54,PHX,6
55,SFO,6
56,LAX,6
57,EWR,1
58,IAH,6
59,MIA,1
60,SEA,6
61,DFW,6
62,ATL,1
63,DEN,6
64,JFK,1
65,ORD,1
66,CLT,1
67,LAS,6
68,MCO,1
69,BKK,4
70,ICN,4
71,EZE,3
72,NBO,2
73,DOH,2
74,IST,5
